State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI,Avg_Temp
Indiana,2021,11240,7928,3278,33,1,0,0,102.03030303030303,41.57575757575758,55.498048157811446
Indiana,2022,11156,8359,2737,58,1,1,0,111.06060606060606,40.63636363636363,53.00608492614328
Indiana,2023,11543,7729,3543,233,28,10,0,174.12121212121212,43.72727272727273,56.77440748112029
Indiana,2024,5744,4383,1350,9,2,0,0,92.33333333333333,40.78787878787879,53.14041635799154
Iowa,2009,5236,3246,1959,30,1,0,0,106.5,42.3,48.257040687388574
Iowa,2010,5332,2912,2355,62,3,0,0,107.75,44.1,49.35948155484032
Iowa,2011,5353,2810,2539,4,0,0,0,95.45,47.5,54.04835108247022
Iowa,2012,5334,2649,2623,61,1,0,0,107.3157894736842,48.421052631578945,54.35071838770248
Iowa,2013,5309,2907,2380,22,0,0,0,101.47368421052632,46.78947368421053,48.42066160027048
Iowa,2014,5319,2987,2312,20,0,0,0,100.57894736842105,44.89473684210526,47.26126931159527
Iowa,2015,5338,3210,2117,9,2,0,0,105.36842105263158,43.68421052631579,51.070658255183616
Iowa,2016,5362,3348,2003,9,2,0,0,98.6842105263158,41.421052631578945,52.127196559040996
Iowa,2017,4882,2750,2129,3,0,0,0,86.33333333333333,43.05555555555556,51.957379581333456
Iowa,2018,4613,2578,2018,17,0,0,0,97.5625,45.0,50.22740910249592
Iowa,2019,4610,3131,1477,2,0,0,0,86.25,40.4375,49.565016591063525
Iowa,2020,4586,3197,1381,5,3,0,0,99.5,40.3125,51.60154241927048
Iowa,2021,4576,2765,1794,14,3,0,0,107.375,44.0,56.59986620372049
Iowa,2022,4583,3190,1390,3,0,0,0,85.0625,40.75,49.88689647560243
Iowa,2023,4468,2267,2049,117,30,5,0,167.4375,46.75,53.04313834090461
Iowa,2024,2639,1875,763,1,0,0,0,84.5,43.0,57.01296974225826
Kansas,2015,3420,2784,631,5,0,0,0,97.18181818181819,33.72727272727273,59.64187866027397
Kansas,2016,3461,2947,509,4,1,0,0,104.72727272727273,33.90909090909091,62.32737297814208
Kansas,2017,3624,2908,713,2,1,0,0,94.45454545454545,34.81818181818182,59.10845853424657
Kansas,2018,3728,2864,859,4,1,0,0,105.18181818181819,35.72727272727273,57.31109520273973
Kansas,2019,3693,2968,721,3,1,0,0,100.81818181818181,34.27272727272727,56.55737756164384
Kansas,2020,3652,2737,895,18,2,0,0,110.0909090909091,35.0,57.86758037158469
Kansas,2021,3694,2453,1207,31,1,1,1,155.54545454545453,39.54545454545455,57.1450639804889
Kansas,2022,3738,2601,1118,16,2,0,1,145.9090909090909,38.72727272727273,55.46758147963461
Kansas,2023,3676,2308,1305,51,12,0,0,142.0,40.72727272727273,57.44581036204108
Kansas,2024,880,723,154,2,1,0,0,84.6,34.7,56.76081432967033
Kentucky,2009,9379,6392,2954,33,0,0,0,99.875,42.5625,56.39964820954138
Kentucky,2010,9089,5168,3747,170,4,0,0,116.625,47.1875,56.09343375933417
Kentucky,2011,8712,5300,3264,135,13,0,0,124.9,45.7,58.13883656601599
Kentucky,2012,8570,5174,3044,312,36,4,0,151.10344827586206,45.172413793103445,59.73813352299098
Kentucky,2013,8621,6260,2345,16,0,0,0,93.58620689655173,41.44827586206897,55.08650635548565
Kentucky,2014,8568,6061,2492,14,1,0,0,96.03448275862068,41.793103448275865,56.02428736551329
Kentucky,2015,8458,6011,2399,44,4,0,0,101.92857142857143,42.607142857142854,57.69020525547755
Kentucky,2016,8576,5807,2721,44,4,0,0,112.03571428571429,43.57142857142857,59.107796999334944
Kentucky,2017,8524,6058,2456,10,0,0,0,91.57142857142857,43.32142857142857,58.738341159218685
Kentucky,2018,8314,5965,2330,16,3,0,0,101.07407407407408,41.74074074074074,56.98998116074922
Kentucky,2019,8172,6284,1883,5,0,0,0,82.07407407407408,42.629629629629626,58.31975851621235
Kentucky,2020,8185,6767,1407,11,0,0,0,87.03846153846153,38.42307692307692,57.957812536500235
Kentucky,2021,8335,6140,2174,20,1,0,0,99.61538461538461,41.46153846153846,58.69900385203207
Kentucky,2022,8170,6120,2029,19,2,0,0,97.42307692307692,41.88461538461539,56.62259491668271
Kentucky,2023,7965,5574,2282,98,11,0,0,134.72,43.92,58.82725658259246
Kentucky,2024,1896,1619,276,1,0,0,0,63.625,37.416666666666664,51.65002801502851
