State,County,Year,Avg_Temp
California,Kern,2020,64.97443006880873
California,Kern,2021,64.57113875250764
California,Kern,2022,65.94357101052633
California,Kern,2023,64.42200140638185
California,Kern,2024,58.28576769621158
California,Kings,2010,62.90468340547945
California,Kings,2011,60.77543054215457
California,Kings,2012,63.701642429611645
California,Kings,2013,63.92905191784702
California,Kings,2014,66.81641198259187
California,Kings,2015,65.11668526018397
California,Kings,2016,65.73455504098361
California,Kings,2017,65.65399254353804
California,Kings,2018,65.31529037077625
California,Kings,2019,64.75712307600733
California,Kings,2020,65.23556989253188
California,Kings,2021,66.79954313647852
California,Kings,2022,66.11453244383561
California,Kings,2023,64.71079879079956
California,Kings,2024,54.1839891322314
California,Lake,2010,53.9766916303155
California,Lake,2011,53.578281965753426
California,Lake,2012,55.1927541181694
California,Lake,2013,55.85985264383562
California,Lake,2014,57.95275833561644
California,Lake,2015,56.94727407156134
California,Lake,2016,57.328817503636365
California,Lake,2017,57.35001026214921
California,Lake,2018,57.176309627666896
California,Lake,2019,56.34143646470184
California,Lake,2020,58.70686945714285
California,Lake,2021,58.58428181505848
California,Lake,2022,56.34455860365297
California,Lake,2023,49.62342346040516
California,Los Angeles,2010,62.28608886682692
California,Los Angeles,2011,62.59372755057119
California,Los Angeles,2012,63.15994132037085
California,Los Angeles,2013,62.993833163715614
California,Los Angeles,2014,66.15485588047414
California,Los Angeles,2015,65.94031316681172
California,Los Angeles,2016,65.65958121670872
California,Los Angeles,2017,66.74718185726424
California,Los Angeles,2018,65.10441805951092
California,Los Angeles,2019,63.60739891401347
California,Los Angeles,2020,65.47425370915255
California,Los Angeles,2021,64.52435115752742
California,Los Angeles,2022,65.59905201964246
California,Los Angeles,2023,63.26934686808511
California,Los Angeles,2024,58.96370493956044
California,Madera,2010,62.82745173151751
California,Madera,2011,60.46634165507246
California,Madera,2012,62.53674995605701
California,Madera,2013,62.83707969633027
California,Madera,2014,64.49552756966293
California,Madera,2015,63.93285494109588
California,Madera,2016,64.20870628291317
California,Madera,2017,64.12026391917809
California,Madera,2018,63.49274195342466
California,Madera,2019,63.143972224827586
California,Madera,2020,63.578206020491805
California,Madera,2021,64.81417787210718
California,Madera,2022,63.88006292191781
California,Madera,2023,62.64380246620689
California,Madera,2024,58.6299881459854
California,Marin,2010,52.80292873937677
California,Marin,2011,52.782192756164385
California,Marin,2012,52.962838635327635
California,Marin,2013,53.22843070604395
California,Mariposa,2010,55.14005422081218
California,Mariposa,2011,55.617675769230765
California,Mariposa,2012,60.541796925287365
California,Mariposa,2013,58.89309943700341
California,Mariposa,2014,55.10515771506849
California,Mariposa,2015,54.388825126373625
California,Mariposa,2016,58.800130101886786
California,Mariposa,2017,58.63245404651163
California,Mariposa,2018,58.53517836684303
California,Mariposa,2019,57.882343224890825
California,Mariposa,2020,63.22606144444445
California,Mariposa,2021,59.89976928324698
California,Mariposa,2022,58.888126633828996
California,Mariposa,2023,56.93748735815603
California,Mariposa,2024,53.12039464102564
